Nintendo DS;DS
Nintendo 3DS family;DS
Nintendo Dsi;DS
PlayStation 2;PS2
PlayStation 3;PS3
Nintendo Wii;Wii
Xbox 360;X360
PlayStation Portable;PSP
PlayStation;PS
Microsoft Windows;PC
macOS;PC
Linux;PC
Windows 10;PC
Windows 2000;PC
Windows 3.1;PC
Windows 3.x;PC
Windows 7;PC
Windows 8;PC
Windows 8.1;PC
Windows 98;PC
Windows 9x;PC
Windows XP;PC
x86;PC
Xbox;XB
Xbox Live;XB
Xbox Live Arcade;XB
Xbox One X;XB
Xbox Series X;XB
Xbox Series X and Series S;XB
Game Boy Advance;GBA
Nintendo GameCube;GC
Nintendo 3DS;3DS
PlayStation Vita;PSV
PlayStation 4;PS4
Nintendo 64;N64
Super Nintendo Entertainment System;SNES
Xbox One;XOne
Wii U;WiiU
Nintendo Entertainment System;NES
Game Boy Color;GB
Game Boy;GB
Dreamcast;DC
Game Gear;GG
DS;DS
PS2;PS2
PS3;PS3
Wii;Wii
X360;X360
PSP;PSP
PS;PS
PC;PC
XB;XB
GBA;GBA
GC;GC
3DS;3DS
PSV;PSV
PS4;PS4
N64;N64
SNES;SNES
XOne;XOne
WiiU;WiiU
NES;NES
GB;GB
DC;DC
GG;GG
windows;PC
mac;PC
linux;PC